alt                      temp                     eddy                     SO4AER_AERSOL            S8AER_AERSOL             HCAER_AERSOL             HCAER2_AERSOL            SO4AER_WFALL             S8AER_WFALL              HCAER_WFALL              HCAER2_WFALL             SO4AER_RPAR              S8AER_RPAR               HCAER_RPAR               HCAER2_RPAR              
2.170854271356784e+02    1.157278451251185e+02    7.069454295819843e+03    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
2.251256281407035e+02    1.185981424091844e+02    8.435710883191661e+03    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
2.331658291457286e+02    1.214684396932502e+02    1.004216748801644e+04    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
2.412060301507537e+02    1.241504638303735e+02    1.191327256918824e+04    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
2.492462311557789e+02    1.263447897548648e+02    1.406103348752062e+04    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
2.572864321608040e+02    1.285391156793561e+02    1.629885440097265e+04    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
2.653266331658291e+02    1.303275414979740e+02    1.849569327754043e+04    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
2.733668341708542e+02    1.317965978632540e+02    2.092766197601681e+04    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
2.814070351758794e+02    1.332656542285341e+02    2.364837224465164e+04    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
2.894472361809045e+02    1.347347105938141e+02    2.668852648715366e+04    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
2.974874371859296e+02    1.362316070178657e+02    3.008771022143199e+04    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
3.055276381909547e+02    1.378360609001584e+02    3.390360994861100e+04    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
3.135678391959799e+02    1.394405147824511e+02    3.815639956013888e+04    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
3.216080402010050e+02    1.410258781538324e+02    4.288699537686328e+04    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
3.296482412060301e+02    1.415149221388664e+02    4.790105223247644e+04    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
3.376884422110552e+02    1.420039661239004e+02    5.344603491467901e+04    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
3.457286432160804e+02    1.424930101089344e+02    5.957242231961909e+04    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
3.537688442211055e+02    1.429820540939683e+02    6.633495467258348e+04    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
3.618090452261306e+02    1.434710980790024e+02    7.379295048789654e+04    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
3.698492462311557e+02    1.433762073697845e+02    8.178353506913662e+04    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
3.778894472361809e+02    1.431027669337040e+02    9.048011834818234e+04    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
3.859296482412060e+02    1.428293264976235e+02    1.000123878088801e+05    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
3.939698492462311e+02    1.425558860615429e+02    1.104522401813975e+05    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
4.020100502512562e+02    1.422954554018156e+02    1.218875079134234e+05    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
4.100502512562814e+02    1.421129106382872e+02    1.345221885369207e+05    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
4.180904522613065e+02    1.419303658747587e+02    1.484663940090336e+05    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
4.261306532663316e+02    1.417478211112303e+02    1.638558362384856e+05    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
4.341708542713567e+02    1.415652763477019e+02    1.808402640132896e+05    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
4.422110552763819e+02    1.413827315841735e+02    1.995849884633232e+05    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
4.502512562814070e+02    1.412001868206450e+02    2.202724151870692e+05    1.9919799285884515e-34   4.2493347595845185e-34   6.3208392097091131e-21   4.6065781025781460e-20   1.0325899790306657e+04   1.2192327145851266e+04   4.8239206551596610e+01   4.8239206551596610e+01   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
